level,L,A,B
1,68.28,-1.48,4.13
2,65.28,-1.49,4.16
3,68.08,-2.89,8.27
4,67.09,-8.57,15.62
5,63.08,0.83,19.04
6,62.92,-0.24,23.26
7,58.63,7.63,21.82
8,53.71,0.03,23.99
