Water
500
-500
-433.3333333
-433.3333333
1306.666667
-366.6666667
-300
-33.33333333
-366.6666667
-33.33333333
-566.6666667
-300
753.3333333
-566.6666667
500
-366.6666667
233.3333333
-500
-366.6666667
753.3333333
-366.6666667
-366.6666667
233.3333333
-366.6666667
-300
-300
-1433.333333
1466.666667
-366.6666667
-33.33333333
-300
-300
-300
-300
-300
-433.3333333
233.3333333
-366.6666667
-766.6666667
1006.666667
